test,matrix_type,row,rowname,c1,c2,c3,c4,c5,c6,c7
H_purch_oo_v,event,2,pre2,-3.59711423401368,21.75997115955408,-.17,.8687,-46.30337005138933,39.10914158336197,4232
H_purch_oo_v,event,3,pre1,0,,,,,,
H_purch_oo_v,event,4,tau0,10.28126209319296,26.64473650063379,.39,.6997,-42.01063211435066,62.57315630073658,5148
H_purch_oo_v,event,5,tau1,32.14562114800123,31.36651748715288,1.02,.3057,-29.41305157740742,93.70429387340988,4228
H_purch_oo_v,event,6,tau2,19.88373854700023,43.04674038628445,.46,.6443,-64.59807249307661,104.3655495870771,3317
H_purch_oo_v,event,7,tau3,-44.38960784950945,32.70804138772406,-1.36,.1751,-108.5841830509967,19.80496735197782,2438
H_purch_oo_v,pooled,1,Pre,-14.55414851969544,27.05971807207519,-.54,.5908,-67.66310082149205,38.55480378210117,3332
H_purch_oo_v,pooled,2,Post,-21.23996051898646,24.5274697633359,-.87,.3867,-69.37890236389995,26.89898132592702,2438
H_refi_n,event,1,pre3,-7.764628122033679,9.675567204967468,-.8,.4225,-26.75445040372745,11.22519415966009,3332
H_refi_n,event,2,pre2,-14.02445529179233,7.656393860235295,-1.83,.0673,-29.05094188206654,1.002031298481869,4232
H_refi_n,event,3,pre1,0,,,,,,
H_refi_n,event,4,tau0,.7955243869766939,7.706090682424408,.1,.9178000000000001,-14.32814098346109,15.91918975741448,5148
H_refi_n,event,5,tau1,-4.984847871651625,9.922066468970053,-.5,.6155,-24.45749869344738,14.48780295014413,4228
H_refi_n,event,6,tau2,-25.9687515329173,11.0785777392583,-2.34,.0193,-47.71112511944396,-4.226377946390642,3317
H_refi_n,event,7,tau3,-43.25186831172561,13.56714530681262,-3.19,.0015,-69.87948319528041,-16.62425342817081,2438
H_refi_n,pooled,1,Pre,-10.21663749379349,8.061550551884725,-1.27,.2054,-26.03869826316995,5.605423275582972,3332
H_refi_n,pooled,2,Post,-10.81031900581448,9.225679328756582,-1.17,.2416,-28.91713740053956,7.296499388910586,2438
H_refi_v,event,1,pre3,124.1023394500076,60.77137799374266,2.04,.0414,4.828952839419827,243.3757260605953,3332
H_refi_v,event,2,pre2,32.04364652446063,55.00407106176708,.58,.5603,-75.90768817800097,139.9949812269222,4232
H_refi_v,event,3,pre1,0,,,,,,
H_refi_v,event,4,tau0,73.28118445796501,56.90028317607634,1.29,.1981,-38.38903559288377,184.9514045088138,5148
H_refi_v,event,5,tau1,67.09045262512399,60.50988182936211,1.11,.2678,-51.66382137779979,185.8447266280478,4228
H_refi_v,event,6,tau2,18.89221997785876,70.73005720907851,.27,.7894,-119.9197614723111,157.7042014280286,3317
H_refi_v,event,7,tau3,-78.78690655359983,96.57737515692243,-.8200000000000001,.4148,-268.3348987057739,110.7610855985743,2438
H_refi_v,pooled,1,Pre,87.06756754924572,52.40648542632432,1.66,.097,-15.78840188096397,189.9235369794554,3332
H_refi_v,pooled,2,Post,-4.626931450285891,62.98483542447724,-.07,.9415,-128.2443839990473,118.9905210984755,2438
H_total_n,event,1,pre3,-6.113602473348337,6.987402923768624,-.87,.3818,-19.82747959518057,7.600274648483895,3332
H_total_n,event,2,pre2,-1.067568729149893,5.102947949858168,-.21,.8343,-11.08264636741738,8.947508909117595,4232
H_total_n,event,3,pre1,0,,,,,,
H_total_n,event,4,tau0,.9021207414584648,7.284258799299363,.12,.9015000000000001,-13.39367424620338,15.19791572912031,5148
H_total_n,event,5,tau1,3.316062626141003,8.862057684631205,.37,.7084,-14.07625735025887,20.70838260254088,4228
H_total_n,event,6,tau2,-.7519231629138275,11.72644652735768,-.06,.9489000000000001,-23.76577812163782,22.26193179581016,3317
H_total_n,event,7,tau3,-15.84360539086184,9.776762632958773,-1.62,.1055,-35.03200975383658,3.344798972112892,2438
H_total_n,pooled,1,Pre,-4.245801727515426,5.771248935585101,-.74,.4621,-15.57278538733735,7.081181932306498,3332
H_total_n,pooled,2,Post,-8.18351797028836,7.032582822914915,-1.16,.2449,-21.9860462701253,5.619010329548576,2438
H_total_v,event,1,pre3,-9.010665268058442,23.73733512585167,-.38,.7043,-55.59891853857519,37.5775880024583,3332
H_total_v,event,2,pre2,-6.288783452488104,16.72738166932356,-.38,.7070000000000001,-39.11804758555928,26.54048068058307,4232
H_total_v,event,3,pre1,0,,,,,,
H_total_v,event,4,tau0,6.048957346439783,25.49146695091379,.24,.8125,-43.97957616750849,56.07749086038806,5148
H_total_v,event,5,tau1,36.42713513222208,29.71712416822433,1.23,.2206,-21.8945042324705,94.74877449691465,4228
H_total_v,event,6,tau2,40.3749316854034,41.62295717408685,.97,.3323,-41.31261936621595,122.0624827370227,3317
H_total_v,event,7,tau3,-34.1128060715393,32.88339649427648,-1.04,.2998,-98.65154271152741,30.42593056844881,2438
H_total_v,pooled,1,Pre,-8.578000376273671,20.10906661273354,-.43,.6698000000000001,-48.04520608494772,30.88920533240038,3332
H_total_v,pooled,2,Post,-12.62164747713104,24.14177628692696,-.52,.6012000000000001,-60.00360639596354,34.76031144170146,2438
