outcome,spec,b,se,r2,nobs
ring_lnp,1,.053245481,.014006177,.15432808,12379
ring_lnp,2,.042256568,.013379437,.34305647,12122
ring_lnp,3,.030184053,.011300736,.53078765,12058
ring_lnp,4,.019066352,.014452734,.35053697,11088
ring_netin,1,.023684291,.0088000037,.046614807,12035
ring_netin,2,.024709092,.0085560465,.16794264,11772
ring_netin,3,.022831449,.008516727,.17392419,11723
ring_netin,4,.028264672,.0099943653,.1760592,10752
