tract_geoid,med_hh_inc,med_value,med_rent,poverty,ba_share,renter_share,vacancy,seasonal_share,mainland_share,pop
72097082103,16260.0,92100.0,365.0,0.46321,0.241,0.44337,0.09156,0.00823,0.05115,4516
72097082104,18799.0,75000.0,425.0,0.39674,0.20219,0.29518,0.14359,0.0,0.06872,2634
72097082200,9077.06166,61630.65237,315.23861,0.70643,0.04951,0.51262,0.22885,0.01382,0.07909,2238
72097082300,10164.22408,66541.33092,401.73744,0.64826,0.09828,0.47022,0.25271,0.0141,0.06292,2209
72097990000,,,,,,,,,,0
72099420100,12058.0,88900.0,342.0,0.58155,0.0947,0.10567,0.2761,0.06972,0.07362,6343
72099420200,16420.0,99500.0,328.0,0.48643,0.26757,0.3305,0.2023,0.03524,0.08196,8016
72099420302,17829.0,94800.0,420.0,0.43531,0.16423,0.18451,0.16008,0.00957,0.04496,4560
72099420303,11319.0,80400.0,449.0,0.56476,0.17025,0.1343,0.21772,0.06709,0.06182,6438
72099420401,13290.0,92300.0,366.0,0.56049,0.14747,0.26831,0.13047,0.05449,0.07739,3825
72099420402,10443.0,77100.0,379.0,0.66084,0.16858,0.15768,0.2088,0.07879,0.01866,4287
72099420500,12382.0,97700.0,399.0,0.62634,0.10164,0.18969,0.20398,0.06175,0.03949,6811
72101955201,12009.0,91500.0,363.0,0.63979,0.14669,0.20547,0.15679,0.04414,0.03058,4775
72101955202,19894.0,97100.0,195.0,0.44968,0.16134,0.13805,0.1118,0.01855,0.01613,5704
72101955301,11748.0,100100.0,538.0,0.63407,0.097,0.18024,0.10727,0.00936,0.02512,8918
72101955401,17987.0,92200.0,333.0,0.5903,0.15671,0.22064,0.10761,0.0343,0.01615,6997
72101955402,11126.0,91500.0,,0.65213,0.12806,0.0489,0.15145,0.01867,0.08542,2997
72101955500,11700.0,91400.0,357.0,0.63617,0.06518,0.42791,0.11531,0.01122,0.02001,2948
72103170100,15366.0,89200.0,458.0,0.48094,0.1004,0.19385,0.20526,0.03275,0.08197,5563
72103170200,15791.0,92300.0,443.0,0.54445,0.17651,0.12425,0.12677,0.01491,0.03749,7763
72103170300,14375.0,89500.0,382.0,0.51542,0.18381,0.1897,0.26461,0.03745,0.05862,5544
72103170400,15294.0,91100.0,241.0,0.54677,0.17183,0.26891,0.11948,0.0,0.08699,7461
72103990013,,,,,,,,,,0
72105520100,17715.0,76400.0,322.0,0.42179,0.10387,0.2026,0.10631,0.01938,0.0107,6075
72105520200,14167.0,75700.0,476.0,0.59251,0.09755,0.18595,0.18417,0.04465,0.02629,5401
72105520300,9392.0,72000.0,291.0,0.63596,0.11901,0.42375,0.18864,0.0497,0.02303,2909
72105520400,13482.0,81600.0,406.0,0.59035,0.14775,0.21675,0.12185,0.03571,0.02039,7897
72105520500,14522.0,86600.0,322.0,0.53766,0.14046,0.2106,0.15094,0.01474,0.03473,8178
72107954801,14477.0,90700.0,390.0,0.55859,0.16888,0.28151,0.12886,0.03945,0.06318,4606
72107954802,14513.0,82500.0,453.0,0.57452,0.13728,0.19938,0.09958,0.0,0.04735,2154
72107954901,11354.0,84400.0,220.0,0.72885,0.1142,0.1987,0.19326,0.04794,0.03634,4100
72107954902,15038.0,78500.0,,0.69953,0.10366,0.17607,0.12556,0.0568,0.04164,1921
72107955001,14147.0,84900.0,221.0,0.64444,0.08152,0.39847,0.18063,0.04843,0.05288,4917
72107955002,12738.0,76000.0,325.0,0.62122,0.15745,0.12054,0.17037,0.0358,0.05222,2413
72107955100,13989.0,97100.0,329.0,0.54738,0.17068,0.40785,0.15705,0.04329,0.05375,3535
72109290100,15173.0,68200.0,329.0,0.56032,0.06165,0.22796,0.19463,0.08627,0.05545,4797
