zip,year,n_stock,n_in_any,n_in_within_pr,n_in_off_island,n_new_entry,n_gap_return,rate_in_any,rate_in_within_pr,rate_in_off_island
00601,2005,93,0,0,0,93,0,0.0,0.0,0.0
00601,2006,94,3,2,1,13,0,0.031914893617021274,0.02127659574468085,0.010638297872340425
00601,2007,92,3,1,2,12,0,0.03260869565217391,0.010869565217391304,0.021739130434782608
00601,2008,102,9,4,5,12,0,0.08823529411764706,0.0392156862745098,0.049019607843137254
00601,2009,99,2,1,1,5,0,0.020202020202020204,0.010101010101010102,0.010101010101010102
00601,2010,97,3,3,0,6,1,0.030927835051546393,0.030927835051546393,0.0
00601,2011,87,4,2,2,2,1,0.04597701149425287,0.022988505747126436,0.022988505747126436
00601,2012,81,1,1,0,2,0,0.012345679012345678,0.012345679012345678,0.0
00601,2013,87,4,1,3,5,2,0.04597701149425287,0.011494252873563218,0.034482758620689655
00601,2014,92,7,3,4,8,1,0.07608695652173914,0.03260869565217391,0.043478260869565216
00601,2015,88,4,4,0,5,2,0.045454545454545456,0.045454545454545456,0.0
00601,2016,86,1,0,1,2,4,0.011627906976744186,0.0,0.011627906976744186
00601,2017,87,3,2,1,3,4,0.034482758620689655,0.022988505747126436,0.011494252873563218
00601,2018,82,1,1,0,7,0,0.012195121951219513,0.012195121951219513,0.0
00601,2019,80,0,0,0,4,0,0.0,0.0,0.0
00601,2020,85,3,3,0,4,1,0.03529411764705882,0.03529411764705882,0.0
00601,2021,91,5,3,2,7,0,0.054945054945054944,0.03296703296703297,0.02197802197802198
00601,2022,89,4,3,1,4,2,0.0449438202247191,0.033707865168539325,0.011235955056179775
00601,2023,83,1,1,0,2,4,0.012048192771084338,0.012048192771084338,0.0
00602,2005,224,0,0,0,224,0,0.0,0.0,0.0
00602,2006,232,13,5,8,24,0,0.05603448275862069,0.021551724137931036,0.034482758620689655
00602,2007,261,14,8,6,36,1,0.05363984674329502,0.03065134099616858,0.022988505747126436
00602,2008,254,9,3,6,23,3,0.03543307086614173,0.011811023622047244,0.023622047244094488
00602,2009,264,17,5,12,12,1,0.06439393939393939,0.01893939393939394,0.045454545454545456
00602,2010,241,15,8,7,7,2,0.06224066390041494,0.03319502074688797,0.029045643153526972
00602,2011,218,6,4,2,2,1,0.027522935779816515,0.01834862385321101,0.009174311926605505
00602,2012,233,15,10,5,9,11,0.06437768240343347,0.04291845493562232,0.02145922746781116
00602,2013,225,6,3,3,11,4,0.02666666666666667,0.013333333333333334,0.013333333333333334
00602,2014,211,10,3,7,4,2,0.04739336492890995,0.014218009478672985,0.03317535545023697
00602,2015,206,8,1,7,10,2,0.038834951456310676,0.0048543689320388345,0.03398058252427184
00602,2016,209,6,4,2,10,9,0.028708133971291867,0.019138755980861243,0.009569377990430622
00602,2017,209,6,5,1,12,7,0.028708133971291867,0.023923444976076555,0.004784688995215311
00602,2018,206,11,1,10,8,2,0.05339805825242718,0.0048543689320388345,0.04854368932038835
00602,2019,207,4,2,2,8,9,0.01932367149758454,0.00966183574879227,0.00966183574879227
00602,2020,211,7,6,1,7,10,0.03317535545023697,0.02843601895734597,0.004739336492890996
00602,2021,201,4,0,4,9,5,0.01990049751243781,0.0,0.01990049751243781
00602,2022,199,10,5,5,7,8,0.05025125628140704,0.02512562814070352,0.02512562814070352
00602,2023,199,10,7,3,8,3,0.05025125628140704,0.035175879396984924,0.01507537688442211
00603,2005,215,0,0,0,215,0,0.0,0.0,0.0
00603,2006,213,15,9,6,25,0,0.07042253521126761,0.04225352112676056,0.028169014084507043
00603,2007,219,12,9,3,26,2,0.0547945205479452,0.0410958904109589,0.0136986301369863
00603,2008,224,26,16,10,18,0,0.11607142857142858,0.07142857142857142,0.044642857142857144
00603,2009,226,23,18,5,17,1,0.10176991150442478,0.07964601769911504,0.022123893805309734
00603,2010,216,24,15,9,4,0,0.1111111111111111,0.06944444444444445,0.041666666666666664
00603,2011,213,15,13,2,15,4,0.07042253521126761,0.06103286384976526,0.009389671361502348
00603,2012,206,15,10,5,8,5,0.07281553398058252,0.04854368932038835,0.024271844660194174
00603,2013,218,22,14,8,13,5,0.10091743119266056,0.06422018348623854,0.03669724770642202
00603,2014,215,12,10,2,9,3,0.05581395348837209,0.046511627906976744,0.009302325581395349
00603,2015,218,16,10,6,8,4,0.07339449541284404,0.045871559633027525,0.027522935779816515
00603,2016,219,19,13,6,8,7,0.0867579908675799,0.0593607305936073,0.0273972602739726
00603,2017,206,13,9,4,3,4,0.06310679611650485,0.043689320388349516,0.019417475728155338
00603,2018,198,10,9,1,8,6,0.050505050505050504,0.045454545454545456,0.005050505050505051
00603,2019,216,17,12,5,16,7,0.0787037037037037,0.05555555555555555,0.023148148148148147
00603,2020,209,15,10,5,3,3,0.07177033492822966,0.04784688995215311,0.023923444976076555
00603,2021,198,10,3,7,7,2,0.050505050505050504,0.015151515151515152,0.03535353535353535
00603,2022,210,15,7,8,11,6,0.07142857142857142,0.03333333333333333,0.0380952380952381
00603,2023,202,14,8,6,8,2,0.06930693069306931,0.039603960396039604,0.0297029702970297
00604,2005,18,0,0,0,18,0,0.0,0.0,0.0
00604,2006,15,1,1,0,2,0,0.06666666666666667,0.06666666666666667,0.0
00604,2007,15,1,0,1,3,0,0.06666666666666667,0.0,0.06666666666666667
00604,2008,14,3,1,2,2,0,0.21428571428571427,0.07142857142857142,0.14285714285714285
00604,2009,13,5,4,1,1,0,0.38461538461538464,0.3076923076923077,0.07692307692307693
00604,2010,10,4,3,1,1,0,0.4,0.3,0.1
00604,2011,4,0,0,0,0,0,0.0,0.0,0.0
00604,2012,10,7,5,2,1,0,0.7,0.5,0.2
00604,2013,7,1,0,1,0,0,0.14285714285714285,0.0,0.14285714285714285
00604,2014,5,1,0,1,0,0,0.2,0.0,0.2
00604,2015,6,0,0,0,0,2,0.0,0.0,0.0
00604,2016,8,2,2,0,0,1,0.25,0.25,0.0
00604,2017,8,1,1,0,0,0,0.125,0.125,0.0
00604,2018,9,1,0,1,0,0,0.1111111111111111,0.0,0.1111111111111111
00604,2019,7,2,1,1,0,0,0.2857142857142857,0.14285714285714285,0.14285714285714285
00604,2020,7,1,1,0,0,0,0.14285714285714285,0.14285714285714285,0.0
00604,2021,10,2,1,1,1,1,0.2,0.1,0.1
00604,2022,10,1,0,1,0,0,0.1,0.0,0.1
00604,2023,10,2,1,1,0,0,0.2,0.1,0.1
00605,2005,90,0,0,0,90,0,0.0,0.0,0.0
00605,2006,96,12,11,1,7,0,0.125,0.11458333333333333,0.010416666666666666
00605,2007,90,10,7,3,8,0,0.1111111111111111,0.07777777777777778,0.03333333333333333
00605,2008,86,7,6,1,8,0,0.08139534883720931,0.06976744186046512,0.011627906976744186
00605,2009,76,12,9,3,3,0,0.15789473684210525,0.11842105263157894,0.039473684210526314
00605,2010,76,20,15,5,1,0,0.2631578947368421,0.19736842105263158,0.06578947368421052
00605,2011,65,6,4,2,2,3,0.09230769230769231,0.06153846153846154,0.03076923076923077
00605,2012,67,9,7,2,4,5,0.13432835820895522,0.1044776119402985,0.029850746268656716
00605,2013,63,7,6,1,2,2,0.1111111111111111,0.09523809523809523,0.015873015873015872
00605,2014,66,8,6,2,2,3,0.12121212121212122,0.09090909090909091,0.030303030303030304
00605,2015,67,8,8,0,4,0,0.11940298507462686,0.11940298507462686,0.0
00605,2016,63,6,6,0,2,0,0.09523809523809523,0.09523809523809523,0.0
00605,2017,59,8,7,1,1,1,0.13559322033898305,0.11864406779661017,0.01694915254237288
00605,2018,53,5,4,1,2,0,0.09433962264150944,0.07547169811320754,0.018867924528301886
00605,2019,48,5,3,2,1,3,0.10416666666666667,0.0625,0.041666666666666664
00605,2020,45,3,1,2,0,1,0.06666666666666667,0.022222222222222223,0.044444444444444446
00605,2021,42,4,2,2,2,0,0.09523809523809523,0.047619047619047616,0.047619047619047616
00605,2022,41,6,5,1,2,1,0.14634146341463414,0.12195121951219512,0.024390243902439025
00605,2023,46,9,9,0,3,1,0.1956521739130435,0.1956521739130435,0.0
00606,2005,37,0,0,0,37,0,0.0,0.0,0.0
00606,2006,38,5,2,3,1,0,0.13157894736842105,0.05263157894736842,0.07894736842105263
00606,2007,41,6,4,2,2,0,0.14634146341463414,0.0975609756097561,0.04878048780487805
00606,2008,41,3,2,1,3,1,0.07317073170731707,0.04878048780487805,0.024390243902439025
00606,2009,42,1,0,1,4,0,0.023809523809523808,0.0,0.023809523809523808
00606,2010,33,0,0,0,0,0,0.0,0.0,0.0
00606,2011,30,2,1,1,2,0,0.06666666666666667,0.03333333333333333,0.03333333333333333
