zip,muni_fips,muni_area_share,n_munis_overlapped
00601,72001,0.9859337796922324,7
00602,72003,0.9967107541982354,5
00603,72005,0.9964255368489124,4
00606,72093,0.8208896083737954,7
00610,72011,0.9656091880628744,7
00611,72141,0.9980047771805995,4
00612,72013,0.9895783364704259,4
00616,72013,1.0,1
00617,72017,0.9932952385263198,4
00622,72023,0.9997078540500633,2
00623,72023,0.998288162801003,5
00624,72111,0.9476943802263421,4
00627,72027,0.9978507878805285,5
00631,72081,0.5035542826625506,4
00636,72125,0.980324827281927,2
00637,72121,0.9382528201453234,5
00638,72039,0.9170752822413228,7
00641,72141,0.998420752666618,5
00646,72051,0.969290673982846,4
00647,72055,0.9822887586000828,2
00650,72054,0.4732556774194095,7
00652,72013,0.9997987174954799,2
00653,72055,0.9732450363483519,4
00656,72059,0.9682396777415884,4
00659,72065,0.9984494938274409,5
00660,72067,0.9938361817763285,4
00662,72071,0.9988674540815845,4
00664,72073,0.9468648322806102,6
00667,72079,0.9797230866367288,5
00669,72081,0.9330523955992899,8
00670,72083,0.95462617678416,6
00674,72091,0.9930934197526013,6
00676,72099,0.9908368389978952,6
00677,72117,0.9790845538895715,3
00678,72115,0.7694405907594492,4
00680,72097,0.9397126458855651,6
00682,72097,0.9954910103559909,4
00683,72125,0.9981745487303556,6
00685,72131,0.8761089631577527,8
00687,72101,0.997899548666551,7
00688,72013,0.9988657369908853,5
00690,72005,0.9961869867229963,2
00692,72143,0.9965363666751089,6
00693,72145,0.9820789733345611,4
00694,72145,1.0,1
00698,72153,0.9768551090156414,7
00703,72007,0.928742720788117,7
00704,72123,0.9728884683440772,2
00705,72009,0.9701688028823002,6
00707,72095,0.9973963273135339,3
00714,72015,0.9983370740071198,3
00715,72113,0.9903477565043668,2
00716,72113,1.0,1
00717,72113,1.0,1
00718,72103,0.9974220692334814,5
00719,72105,0.967347974323414,6
00720,72107,0.9912465587100058,7
00723,72109,0.9926105112381505,7
00725,72025,0.8645203761929907,8
00727,72025,0.9989937604537843,4
00728,72113,0.9994088747407974,2
00729,72029,0.9113169873648624,7
00730,72113,1.0,1
00731,72113,0.9698626242843578,5
00735,72037,0.9429451806076649,5
00736,72035,0.9227443674193491,8
00738,72053,0.9936352011136196,3
00739,72041,0.9969081504648198,7
00740,72053,1.0,1
00741,72069,0.999181195892375,2
00745,72119,0.9966355957894647,7
00751,72123,0.996989645621417,6
00754,72129,0.9978298745125201,8
00757,72133,0.9983132970780052,4
00765,72147,1.0,1
00766,72149,0.932172792341407,6
00767,72151,0.9908678508788926,6
00769,72043,0.9787885176341039,8
00771,72085,0.9880085743277275,8
00772,72087,0.9987842177726344,4
00773,72089,0.9976519824011427,4
00775,72049,1.0,1
00777,72077,0.9827024844603148,5
00778,72063,0.9382593332067077,6
00780,72113,0.9795765921215048,3
00782,72045,0.9718170125193768,6
00783,72047,0.988619599479926,7
00784,72057,0.9701247763669467,5
00786,72009,0.9993463561689439,3
00791,72069,0.9779019457688662,4
00794,72019,0.961835964879237,8
00795,72075,0.9978619478575987,7
00901,72127,1.0,1
00906,72127,1.0,1
00907,72127,1.0,1
00909,72127,1.0,1
00911,72127,1.0,1
00912,72127,1.0,1
00913,72127,0.9979536093337052,2
00915,72127,0.999239079093642,2
00917,72127,1.0,1
00918,72127,1.0,1
00920,72127,0.9982815911511003,2
00921,72127,0.9989002628163771,2
00923,72127,0.9988806330495433,2
00924,72127,0.9654388301318526,3
00925,72127,1.0,1
00926,72127,0.8339590586749465,4
00927,72127,1.0,1
00934,72061,0.6892808591109446,2
00949,72137,0.9593984961330142,5
00950,72051,0.9956410635374005,2
00951,72137,0.9817227738013982,2
00952,72137,0.994381430584479,2
00953,72135,0.9824577277228387,7
00956,72021,0.9769606290613747,6
00957,72021,0.9318098529374883,2
00959,72021,0.9857025360597587,4
00960,72021,0.996227036401049,3
00961,72021,0.9872106203281387,3
00962,72033,0.8563775554711865,4
00965,72061,0.9984232303846131,3
00966,72061,0.8522441429238691,3
00968,72061,0.9948009558611705,2
00969,72061,0.8514839006068186,3
00971,72061,0.9964597470062212,4
00976,72139,0.9433707952928464,4
00979,72031,0.9984846750158423,3
00982,72031,0.9985978325817215,2
00983,72031,0.99873974151557,3
00985,72031,0.9982686423036794,3
00987,72031,0.9945778204217904,5
