zip,year,n_at_risk,n_stay,n_move_any,n_move_within_pr,n_move_off_pr,n_attrit,rate_move_any,rate_move_within_pr,rate_move_off_pr
00604,2011,4,2,2,2,0,0,0.5,0.5,0.0
00604,2012,10,6,4,3,1,0,0.4,0.3,0.1
00604,2013,5,4,1,0,1,2,0.2,0.0,0.2
00604,2014,5,4,1,0,1,0,0.2,0.0,0.2
00604,2015,6,5,1,1,0,0,0.16666666666666666,0.16666666666666666,0.0
00604,2016,8,7,1,0,1,0,0.125,0.0,0.125
00604,2017,8,8,0,0,0,0,0.0,0.0,0.0
00604,2018,9,5,4,3,1,0,0.4444444444444444,0.3333333333333333,0.1111111111111111
00604,2019,7,6,1,1,0,0,0.14285714285714285,0.14285714285714285,0.0
00604,2020,6,6,0,0,0,1,0.0,0.0,0.0
00604,2021,10,9,1,0,1,0,0.1,0.0,0.1
