ACSSF,2010m5,pr,000,0053,0005289,138,104,75,37,63,45,26,12,31,30,21,123,19,123,123,123,123,130,99,74,37,62,45,18,12,31,30,19,123,123,123,123,123,123,17,123,123,123,17,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,42,31,12,123,123,123,19,123,123,123,9,123,19,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,32,32,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,137,103,75,37,63,45,26,12,31,30,21,123,19,123,123,123,123,2389,2866,.,.,.,.,24704,.,1933,2330,2389,1923,3836,11301,11583,1720,11059,.,3656082,2839672,,.,.,.,1919201,.,112403,3665472
ACSSF,2010m5,pr,000,0053,0005290,113,78,61,60,48,45,33,27,29,123,26,31,16,123,123,123,123,115,78,57,60,48,45,33,27,29,123,26,31,16,123,123,123,123,26,26,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,33,25,21,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,33,26,123,123,123,19,123,123,123,123,123,123,123,123,123,123,123,108,77,61,60,48,40,33,27,29,123,26,31,16,123,123,123,123,2860,3257,.,.,.,.,.,.,39068,2861,2860,1538,2887,5967,24765,18443,.,.,3548145,3488725,,.,.,.,,.,,3492171
ACSSF,2010m5,pr,000,0053,0005291,117,83,41,55,40,43,49,24,123,123,19,23,13,123,123,123,123,119,88,41,55,40,37,33,24,123,123,123,23,13,123,123,123,123,37,123,123,123,123,12,34,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,44,29,123,123,123,18,123,123,123,123,19,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,117,83,41,55,40,43,49,24,123,123,19,23,13,123,123,123,123,5132,4677,8164,.,.,.,20716,.,.,5132,5132,14708,1682,6881,11909,7721,29271,.,2833841,2613705,,.,.,.,1076323,.,.,2833841
ACSSF,2010m5,pr,000,0053,0005292,101,85,41,42,28,26,38,27,10,34,35,33,10,123,123,123,123,103,84,37,42,28,26,36,23,10,34,35,33,10,123,123,123,123,15,123,123,123,4,123,123,15,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,30,23,15,123,123,123,13,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,101,85,41,42,28,26,38,27,10,34,35,33,10,123,123,123,123,5511,6094,11326,.,.,.,2748,.,.,5511,5511,6203,10569,19853,8863,32960,.,2011,3803526,3693019,,.,.,.,491949,.,.,3803526
ACSSF,2010m5,pr,000,0053,0005293,100,95,40,21,32,32,28,32,23,18,30,18,123,123,123,123,123,103,99,40,21,32,32,28,32,23,123,30,18,123,123,123,123,123,18,123,123,123,123,123,123,123,123,18,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,34,34,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,100,95,40,21,32,32,28,32,23,18,30,18,123,123,123,123,123,2981,3130,.,.,.,.,.,.,.,2981,2981,3399,10104,31624,45413,21664,.,87462,2641025,2455868,,.,.,.,,.,.,2641025
ACSSF,2010m5,pr,000,0053,0005294,126,125,74,48,33,55,46,50,38,52,22,19,25,14,123,123,123,121,123,70,50,33,51,46,39,37,52,22,19,25,14,123,123,123,26,123,123,13,123,22,123,123,10,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,41,28,22,123,123,123,123,32,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,20,20,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,127,127,74,48,33,55,46,50,38,52,22,19,25,14,123,123,123,3093,3388,12562,.,.,.,28226,.,.,3160,3093,6805,2969,18470,13369,29105,.,.,4253062,4068400,767082,.,.,.,1264241,.,,4252249
ACSSF,2010m5,pr,000,0053,0005295,155,105,83,53,70,44,51,54,44,46,59,22,123,123,13,13,13,143,97,76,51,70,41,40,54,39,41,56,22,123,123,13,13,13,64,32,28,24,123,16,28,123,20,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,16,13,123,123,123,123,123,123,123,123,10,123,123,123,123,123,123,44,26,20,12,123,123,16,123,123,22,123,123,123,123,123,123,123,39,123,18,123,16,16,123,123,123,123,15,22,123,123,123,123,123,158,105,79,53,71,41,51,54,44,46,55,123,123,123,13,13,13,4495,5030,9189,.,.,.,75633,22086,44258,3704,4495,2005,2029,5118,8983,10075,45586,78180,6039744,5576304,1452679,.,.,.,,1224980,1778435,5980792
ACSSF,2010m5,pr,000,0053,0005296,196,148,70,94,69,76,63,12,36,55,29,39,123,39,123,123,39,189,150,66,95,69,76,63,12,36,55,29,39,123,39,123,123,39,41,22,19,32,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,38,19,16,28,123,123,123,123,123,123,123,123,123,123,123,123,123,34,34,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,22,123,123,123,23,19,123,123,123,123,123,123,123,123,123,123,123,197,148,70,94,61,73,63,12,36,55,29,39,123,39,123,123,39,1910,1941,7879,.,.,.,12030,.,12103,2012,1910,3685,2733,14542,12589,59031,37410,.,22389904,22256246,659050,.,.,.,595461,,,22400283
ACSSF,2010m5,pr,000,0053,0005297,125,103,77,58,37,30,19,31,38,123,38,26,24,123,123,22,123,129,107,77,57,31,28,19,31,38,123,38,22,24,123,123,22,123,16,12,123,10,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,37,30,123,123,17,11,123,123,123,123,123,11,123,123,123,123,123,27,27,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,28,23,123,123,123,123,123,123,123,123,123,15,123,123,123,123,123,127,99,77,58,37,30,19,31,38,123,38,21,24,123,123,22,123,2187,1807,.,.,.,.,12150,.,.,2009,2187,2673,5194,10821,38314,49233,121283,56340,5239012,5365210,,.,.,.,820079,,,5285840
ACSSF,2010m5,pr,000,0053,0005298,173,129,126,77,68,31,30,31,42,47,49,39,123,123,123,123,123,162,112,127,77,59,21,30,33,40,43,41,34,123,123,123,123,123,54,33,29,123,26,22,123,12,13,123,123,12,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,73,67,21,9,123,123,123,123,123,18,123,15,123,123,123,123,123,45,26,123,123,26,123,123,123,123,123,25,123,123,123,123,123,123,31,16,123,25,123,123,123,123,123,123,123,123,123,123,123,123,123,170,130,126,72,68,31,30,31,42,47,49,39,123,123,123,123,123,1625,1592,19573,.,.,.,.,18447,14757,1594,1625,2104,2102,8834,6296,2472,25871,.,4917494,4582974,1350465,.,.,.,1299763,1414825,,4852507
