buyer,parcels,value
PR HOUSING INVESTMENT GROUP LLC,10,1523913
ESTRELLA HOMES II LLC,10,573626
MONSANTO CARIBE LLC,10,15656325
FIRST BANK,10,23888607
COOP A C AGUADA,10,4474000
ADL INMOBILIARIA LLC,10,860000
METRO PONCE INC,10,26228870
GLOBAL PROPERTIES IN,10,3847999
YABUCOA DEVELOPMENT,10,14971707
SIEMBRA GROUP LLC,10,1479520
ESTRELLA HOMES LLC,10,705497
BENTOR INVESTMENT IN,10,9411138
4M INVESTORS LLC,10,347100
HIRAL INVESTMENT INC,10,11936744
COOP AHORRO Y CREDIT,10,4179975
CONDADO 3 CR LLC,10,1572458
DREAM PROPERTIES LLC,10,923050
HLP INVESTMENT INC,10,3225000
KC PROPERTY INC,10,5521654
DV REALTY INC,10,3102000
VELAZQUEZ INVESTMENTS AND PROPERTY MANAGEMENT CORP,10,250000
MN PROPERTIES LLC,10,2350100
NUESTRA ESCUELA INC,10,1657022
BGI LLC,10,2401345
REALTY KINGS LLC,10,749000
DIVAMAR INC,10,1240000
UNIVERSAL FITNES EQUIPMENT INC,10,1300000
MM2 LLC,10,1553000
U H CORPORATION,10,3965000
ANDSIX LLC,10,1916470
CENTRO DE SIRUGIA AMBULATORIA LASER MADICO INC,10,14362022
HATO REY PARTNERS,10,151287614
VRM ENTERPRISES INC,10,3457000
CORCOL INVESTMENT IN,10,332398
PDDK LLC,10,6600000
AZIOL LLC,10,6484000
TERRAPIN PR LLC,10,4832000
MR GARDENIA LLC,10,1256680
JVD PROPERTIES LLC,9,4460000
APEX BANK,9,722685
CARABI HOLDINGS LLC,9,2718500
Z R LLC,9,1400000
MOYBA LLC,9,17663777
POMPINA INVESTMENTS,9,11661322
KELLER HOLDINGS LLC,9,7705000
VPP HOLDING LLC,9,17807504
BANCO SANTANDER PR,9,1837730
NEGOCIOS BERRIOS LLC,9,4565000
BHC LLC,9,20770936
EJA PROPERTY GROUP,9,3866738
QUEEN RENTAL INC,9,1206500
TADD GROUP LLC,9,4237500
EJA DAIRY INC,9,2397045
ROSANEL PROPERTIES LLC,9,1031000
REVIVE VENTURES LLC SERIES II,9,1017500
BOSCO PUERTO RICO LLC,9,1740775
MI RETIRO CORP,9,1760000
ARV LLC,9,891000
FELIJOJO CORP,9,783000
CUATRO AN INC,9,286555
ASTURIAS INVESTMENT,9,701647
ROUTE 65 INC,9,4840000
KELLNER INVESTMENT LLC,9,1785000
QNS PROPERTIES CORP,9,3136180
CONSOLIDATED LLC,9,1738858
ROOTS AND WATER LLC,9,489996
BRADBURY FUNDS INC,9,481278
HUERTAS PROPERTIES LLC,9,1607800
PLAYA ALMIRANTE INC,9,2043750
BERRIOS DEVELOPMENT,9,210000
RARE CORP,9,9861400
ORIA LLC,9,947250
LMJC REALTY LLC,9,9588000
CTP INVESTMENT CORP,9,1428000
NEW PERFECT CHINA LLC,9,1997500
THREE BROTHERS CORP,9,6960000
ARMATEL LLC,9,1296000
P P GETAWAYS LLC,9,1076395
EMR PROPERTIES LLC,9,1758700
ALTERNATIVE MARKETING AND CONSULTING SERVICES INC,9,524711
NORFE GROUP CORP,9,11847841
VIG LEASING LLC,9,3269254
CJD REALTY LLC,9,6587150
MSM INC,9,6075000
UDONDA LLC,9,2293000
ARI KRESCH REVOCABLE TRUST,9,295000
ALL ESTATE LLC,8,11565361
HPM FOUNDATION INC,8,2840900
MJM LLC,8,591100
CENTER PROPERTIES LLC,8,602780
MEDINA LUNA ASOCIADOS LLC,8,882500
AQUI INVESTMENT LLC,8,456800
AGRIART LLC,8,7246417
TRIPLE J DEVELOPMENT LLC,8,1455577
REHAB HOMES INC,8,459505
THE PRESERVATION TRUST,8,1005000
GV PROPERTIES INC,8,2971836
PEDAL LLC,8,2197000
SIMONS MANAGEMENT GROUP LLC,8,1775000
GTP TOWERS III LLC,8,1696275
MCLP ASSET COMPANY INC,8,1268810
DRI INC,8,749656700
DRA MARITZA LOPEZ LLC,8,270000
J3M LLC,8,2123000
FIRST BANK PUERTO RI,8,925326
PR CR INVESTMENT CORP,8,15945000
JBA FARM LLC,8,1301750
CETO INC,8,4888837
BILAND REALTY LLC,8,3002000
DREAM INVESTMENTS LLC,8,974000
FINCA REAL INC,8,1281869
SAINT LUKES MEMORIAL HOSPITAL INC,8,23930000
BUYE HOLDINGS INC,8,690000
AURORA PR LLC,8,3171714
MIGRANT HEALTH CENTER WESTERN REGION INC,8,5552210
MACHADO HERNANDEZ DEVELOPMENTS LLC,8,1198000
BELMONTE REALTY INC,8,1488095
LAE PROPERTIES LLC,8,1661610
EMPRESAS ZEPOL INC,8,565900
AMRAPUR INC,8,7694775
M M PROPERTY INC,8,498000
BANCO DE DESARROLLO,8,3241105
INVERSIONES LAEL LLC,8,1473300
FIFTHSOME INVESTMENT,8,958184
RETAIL PROPCO BORROWER LLC,8,49190000
HODASSA LLC,8,975000
TRIANGLE REO PR CORP,8,1287697
RG PREMIER BANK,8,792296
INMOBILIARIA CRYSMAR LLC,8,1613500
QNS PROPERTIES CORPO,8,3820000
OLDACH ASSOCIATES SE,8,8751861
ONCEISEIS INC,8,12217088
SOSREMAN INC,8,7760000
PDR ADQUISITION LLC,8,2199000
INMOBILIERE ART CORP,8,590862
MAC PROPERTIES LLC,8,4023730
B2B RE INVESTMENTS LLC,8,4251001
ZUJAMAR INVESTMENT CORP,8,1746000
BAYASI GUEST HOUSE LLC,8,2288500
MIGSIF3 LLC,8,9005000
RL INVESTMENTS LLC,8,1876894
PUERTO RICO HOLDINGS LLC,8,2096000
NATIONAL CONSULTANTS MANAGEMENT INC,8,1775000
G D INDUSTRIAL INVESTMENT PARK LLC,8,4445000
MR HOME LLC,8,1244319
AQUAMARINA LLC,8,1238000
MJD PROPERTIES LLC,8,777300
SP PROPERTIES INC,8,1158000
CORP PROYECTO ENLACE DEL CA O MARTIN PE A,8,1765200
BOS LLC,8,104000000
LICKI INC,8,1927000
BUSINESS ATELIER LLC,8,421418
TOUCHVISION 200 LLC,8,4780000
