buyer,parcels,value
GARCIA REALTY LLC,5,2044000
GRUPO EPEM CORP,5,11000000
STAR PETROLEUM CORP,5,6500000
CAMUY HEALTH SERVICES INC,5,850000
GUERRERO REALTY INC,5,851640
ATLANTIC PROPERTIES,5,1545000
CALYPSO VILLAS LLC,5,1692000
JH REALTY INC,5,960000
RENACER REALTY LLC,5,2428000
REYMAR PR REAL ESTATE INVESTMENT LLC,5,1225000
A J REALTY INC,5,1823266
IPANEMA LLC,5,1361400
JMVR INVESTMENTS INC,5,950000
PANTOJA REALTY GROUP CORP,5,1080000
TRES RIOS LTD CORP,5,1690000
LA LA CASAS LLC,5,746825
BENITEZ INSURANCE AGENCY INC,5,600000
PROPERTIES EXPERTS LLC,5,1087000
T P REALTY INC,5,2040000
JA SERVICE CONSTRUCTION CORP,5,620000
HAD REALTY SE,5,5278000
RIVIERA MASTER HOMEOWNERS ASSOCIATION INC,5,27714285
SOCIEDAD DE DESARROLLO HUMANO LLC,5,1151270
VILLANUEVA APT LLC,5,365000
MMD PROPERTIES LLC,5,829000
AMIR GROUP LLC,5,775900
AV CONSTRUCTION CORP,5,1021000
INMOBILIARIA RIVERA Y RIVERA INC,5,6765000
JME LLC,5,794000
FIDEICOMISO L P V I,5,120000
TWO M L LLC,5,996000
BETCAR HOLDING CORP,5,575000
ZORIMARI LLC,5,2300000
SANTIANES INC,5,363000
CAPSTONE HOLDINGS,5,60000
PRIME REALTY HOLDINGS LLC,5,1883000
SANTAMARIA CORP,5,1500000
MD DISTRIBUTORS CORP,5,103000
ROOSEVELT 244 CORP,5,4033000
LVL MI RETIRO INC,5,405000
CIMM LLC,5,1220000
ARV HOLDINGS LLC,5,1085000
GT PROPERTIES INVESTMENT LLC,5,1044530
JOSE R MARTI LLC,5,390000
Y R EMPRESAS LLC,5,682000
EMPRESAS MASTRID INC,5,1014472
WIDE RANGE CORP,5,358500
GANADERIA JIMNEZ LLC,5,232000
ACOS HOLDINGS INC,5,733500
EL VIGIA LLC,5,23650000
GF NATIONAL PROPERTIES CORP,5,1636400
CR MANAGEMENT GROUP LLC,5,2012500
407 DP LLC,5,355200
CARIBBEAN INVESTMENT ACQUISITION LLC,5,3417404
NEOACERO LLC,5,147000
SAT OFFICE 3 INC,5,228570
M R D OFFICE 3 INC,5,209051
SWISS CHALET INC,5,2250900
THE SPORT SHOP INC,5,91800
JEX INVESTMENTS LLC,5,503000
MR 260 LUNA LLC,5,480064
MR MIRAMAR PLZ LLC,5,1683010
INVERSIONES CASA GRA,5,4415000
SJC LLC,5,3475000
JOVA BRISTOL LLC,5,1053140
ISO GROUP LLC,5,4990000
MARGAN LLC,5,1114863
HILL LLC,5,82620
JAIMANITAS INVESTMENT SE,5,48895000
DAZAR PROPERTY LLC,5,486000
FUTURE HABITAT INC,5,158000
