mail_address,parcels,value,n_entities,entities
STE 903 206 CALLE DE TETUAN PR 00901 1841,13,3265500,6,CATAVI HOSPITALITY LLC | VAN DEL SOL LLC | VENTURE MANAGEMENT | VENTURE MANAGEMENT I | VENTURE MANAGEMENT INC | VENTURE MANAGMENT IN
URBNIZACION SABANA GARDENS CLALE 2 BLOQUE 1 4 PR 00983,13,579800,3,AQI INVESTMENT LLC | AQUI INVESTMENT LLC | AQUI INVESTMENTS LLC
RVM PROFESSIONAL SERVICES LLC A4 REPTO MENDOZA PR PUERTO RICO 00918 0079,13,1125450,6,ESTRALLAS HOMES II LLC | ESTRELLA HOME II LLC | ESTRELLA HOMES II LLC | ESTRELLA HOMES III LLC | ESTRELLA HOMES LLC | LIC ESTRELLA HOMES II LLC
LOS FRAILES INDUSTRIAL PARK 668 CALLE CUBITAS PR 00969 2801,13,588108590,2,CARIBE FARMACY REAL ESTATE LLC | CARIBE PHARMACY REAL ESTATE LLC
PO BOX 761 PR PUERTO RICO 00729 0761,13,998759,3,INVERSIONES VICEFLOR | INVERSIONES VICENFLO | INVERSIONES VICENT F
PO BOX 4140 PR ESTADOS UNIDOS 00970 4140,13,7204158,5,NEXT HOME INVESTMENT | NEXT HOME INVESTMENT LLC | PR CAPITAL INVESTMENT LLC | RR CAPITAL INVESMENT LLC | RR CAPITAL INVESTMENT LLC
3835 PGA BLVD SUITE 207 FL UNITED STATES 33410 3006,13,114011300,2,NSA PR LLC | NSA PUERTO RICO LLC
PO BOX 628 PUERTO RICO 00623,13,4654072,2,JLFG FARM LLC | WHF FARM LLC
1346 AVE FELIX ALDARONDO SANTIAGO PR 00662 5903,13,603558,4,DOS LAGOS INVESMENT GROUP INC | DOS LAGOS INVESTMENT | DOS LAGOS INVESTMENT GROUP | DOS LAGOS INVESTMENT GROUP INC
URB ALTAMIRA 612 CALLE ALDEBARAN PR ESTADOS UNIDOS 00920 4226,13,2749520,4,SIEMBRA GROUP | SIEMBRA GROUP LLC | SIEMBRE GROUP LLC | SIEMBREA GROUP LLC
HC 70 BOX 48808 PR 00754 9922,13,29039103,3,ADS DAUGHTERS INVESTMENT LLC | ADS DAUGHTERS INVESTMENTS LLC | ADS DOUGHTERS INVESTMENT
STE 3A MARINA BAHIA PLAZA 150 CALLE CONQUISTADOR PR 00962,13,427875,3,BANCO POPULAR DE PR | CUATRO A N INC | CUATRO AN INC
33 CALLE BOLIVIA STE 7A PR 00917 2000,13,6060573,5,BOSCO CREDIT XVIII LLC | BOSCO IV OVERSEAS LLC | BOSCO IX OVERSEAS LLC | BOSCO IX REO LLC | I W E INC
PO BOX 195406 PR ESTADOS UNIDOS 00919 5406,13,30617088,4,AUTOFERMAN INC | AUTOGERMANA INC | ONCEISEIS INC | ONCESEIS INC
636 BROADWAY 10TH FLOOR NY 10012,13,4911600,5,FORTALEZA EQUITY PARTNERS I LLC | FORTALEZA EQUITY PARTNERS REO | FORTALEZA EQUITY PARTNERS REO I LLC | FORTALEZA EQUITY PARTNERS REO I LLCI | FORTALEZA EQUITY PROPERTIES I LLC
PO BOX 1839 PR PUERTO RICO 00970 1839,13,2054000,5,IGNEOUS ROCK CORP | IGNEOUS ROCK CORPORATION | IGNEOUS ROCK INC | IGNEOUS ROCKS CORPORATION | SOB RE HOLDING LLC
CALLE CRISTO 205 SUITE 2 PR PUERTO RICO 00901,13,11605000,4,MIGSF3 LLC | MIGSIF 3 LLC | MIGSIF3 LLC | MIGSTF3 LLC
PMB 593 BOX 6017 PR PUERTO RICO 00984,13,2775000,4,ZUJAMAR INVESMENT CORP | ZUJAMAR INVESTMENT | ZUJAMAR INVESTMENT C | ZUJAMAR INVESTMENT CORP
353 DOMENECH AVE SUIT SUITE 201 PR PUERTO RICO 00918,13,769129,2,RANA HOLDING LLC | RANA HOLDINGS LLC
URB MILAVILLE 183 CALLE PINA SAN JUAN PR USA 00926,13,792000,2,NIEVES ESTATE PROPERTIES INC | NIEVES ESTATE PROPPERTIES INC
PO BOX 138 PR 00778 0138,12,1239100,5,MEDINA LUMA ASOCIADOR LLC | MEDINA LUNA ASOCIADO LLC | MEDINA LUNA ASOCIADOS | MEDINA LUNA ASOCIADOS LLC | MEDINA LUNA Y ASOCIADOS LLC
URB PRADERAS RIO 11 CALLE RIO BUCANA PR 00753,12,1562455,3,R E M INVESTMENT LLC | R E M INVESTMENTS LLC | REM INVESTMENTS LLC
PO BOX 8870 PR PUERTO RICO 00732,12,868881,4,INVERSIONES TORRES | INVERSIONES TORRES I | INVERSIONES TORRES IRIZARRY INC | IRVERSIONES TORRES IRIZARRY INC
PO BOX 190839 PR 00919 0839,12,16034207,3,DOWNTOWN DEVELOPMENT | YABUCOA DEVELOPEMENT LLC | YABUCOA DEVELOPMENT
142 CALLE 3A URB HERMANAS DAVILA PR PUERTO RICO 00959,12,1837683,6,JML INVESTMENTS INC | LAI INVESTMENTS LLC | LAM INVESMENT LLC | LAM INVESTMENT | LAM INVESTMENT LLC | LAM INVESTMENTS LLC
PO BOX 270411 PR PUERTO RICO 00928,12,3852750,5,BLU VENTURES LLC | BLUE VENTURAS LLC | BLUE VENTURE LLC | BLUE VENTURES LLC | DEAN ENTERPRISES LLC
PO BOX 194925 PR 00919 4925,12,3884840,4,BRADBURG FUNDS INC | BRADBURY FUND INC | BRADBURY FUNDS INC | BRADDURY FUNDS INC
PO BOX 366713 PR PUERTO RICO 00936,12,1683000,5,ICON MEDIA CORP | R A HOLDING INC | RES RENT CORPORATION | SANTURCE RENT CORP | SANTURCED RENT CORP
PO BOX 270261 PR ESTADOS UNIDOS 00928 3061,12,2580500,4,EARLY PROPERTY MANAGEMENT AND CONSULTANTS INC | EARLY PROPERTY MANAGEMENT CONSULTANTS INC | SJ PROPERTIES MANAGEMENT LLC | SJ PROPERTY MANAGEMENT LLC
HOSPITAL AUXILIO MUTUO DPT CONTABILIDAD PO BOX 191227 PR 00919 1227,12,4889370,2,RAMAVI INC | SOCIEDAD ESPANOLA DE AUXILIO MUTUO Y BENEFICIENCIA DE PR INC
STE 1 200 CALLE SAN AGUSTIN PR PUERTO RICO 00901 2823,12,4766656,5,BQB PR 1 LLC | ELOKUT 207 LLC | MASSRI PR 2 LLC | MASSRI PR 3 LLC | MASSRI PR 4 LLC
151 SAN FRANCISCO SUITE 200 PMB 5012 PR PR 00901,12,7935000,2,SABANERA RESIDENTIAL HOLD LLC | SABANERRA RESIDENTIAL HOLD LLC
PO BOX 366486 PR 00936 6486,11,3918373,4,ALICEA INVESTMENTS 2 LLC | J A SOLAR SERVICES INC | JA SOLAR SERVICE INC | JA SOLAR SERVICES INC
PO BOX 190302 PR PUERTO RICO 00919 0302,11,40183100,6,AIROLG INC | CRAFOR INC | ESLEGNA INC | FIORCHI INC | JOBLAR INC | SANTA BARBARA REALTY
PO BOX 9020150 PR 00902 0150,11,20368777,3,BANCO POPULAR DE PR | MOVBA LLC | MOYBA LLC
PO BOX 759 PR 00715 0759,11,4655000,5,REIGN HOLDING LLC | REIGN HOLDINGS LLC | REING HOLDING LLC | REING HOLDINGS LLC | RIGN HOLDING LLC
URB ANAIDA 2639 CALLE PONTEVEDRA PR PUERTO RICO 00716 3619,11,1472552,3,GABY SUE REALTY LLC | GABYSUE RALTY LLC | GABYSUE REALTY LLC
PO BOX 10127 PR 00922,11,398573,6,CMIYA INVESMENT INC | CMIYA INVESTMENT | CMIYA INVESTMENT IN | CMIYA INVESTMENT INC | CMIYA INVESTMENTS IN | CNIYA INVESTMENT INC
200 WEST ST NY EU 10282 2102,11,1626006,4,MCLP ASSER COMPANY INC | MCLP ASSET CO INC | MCLP ASSET COMPANY INC | MLCP ASSET COMPANY INC
PO BOX 6478 PR PUERTO RICO 00726,11,752261600,3,DRI INC | DRI LLC | DROC INVESTMENT LLC
PO BOX 1097 PR 00771 1097,11,4625000,4,JUD PROPERTIES LLC | JVD PROPERTIES LLC | JVD PROPIETIES LLC | JVO PROPERTIES LLC
PO BOX 476 PR PUERTO RICO 00777,11,2284000,4,C C REAL ESTATE LLC | C C REAL STATE LLC | C C REAL STATES LLC | CC REAL ESTATE LLC
500 CARR ERNESTO CARRASQUILLO PR PR 00767 3971,11,13435906,2,JV REALTTY LLC | JV REALTY LLC
PO BOX 1210 PR PUERTO RICO 00777,11,6115000,3,JF REALTY LLC | T J PROPERTIES LLC | TJ PROPERTIES LLC
4 URB EL RETIRO 147 CALLE PUERTA DEL CIELO PR 00791 3764,11,918079,4,EXPERT ENERGY SOLUTION LLC | EXPERT ENERGY SOLUTIONS LLC | EXPERT ENERGY SOLUTONS LLC | EXPERTC ENERGY SOLATION LLC
PO BOX 291 TX ESTADOS UNIDOS 77347 0291,11,387580,2,4M INVESTOR LLC | 4M INVESTORS LLC
PO BOX 371424 PR 00737 1424,11,1810000,2,VICTORIA PROPERTIES | VICTORIA PROPERTIES LLC
PO BOX 116 PR ESTADOS UNIDOS 00605 0116,11,4050019,4,AGUADILLA PIER CORP | PL INVESTMENT LLC | RL CAPITAL INTERNATI | RL INVESTMENTS LLC
215 CALLE DE LA CANDELARIA PR 00682 3202,11,2451332,3,ALAMEDA HOLDING CORP | ALAMEDA HOLDINGS COR | ALAMEDA HOLDINGS CORP
PO BOX 3067 PR PUERTO RICO 00681 3067,11,5813000,7,INC DEV PEREZ GRAJAL | IRA REALTY LLC | PEREZ GRAJALES DEVELOPMENT INC | PR CR INVESTMENT COR | PR CR INVSTMENT CORP | QSR DEVELOMENTE LLC | QSR DEVELOPMENT LLC
152 RODRIGUEZ IRIZARRY PR PUERTO RICO 00612,11,3377500,2,HLP INVESTMENT INC | HLP INVESTMNET INC
101 AVE SAN PATRICIO STE 960 PR 00968 2688,11,8121654,2,GUBRU REALTY INC | KC PROPERTY INC
PO BOX 195383 PR ESTADOS UNIDOS 00919 5383,11,9608250,3,DE LA BARCA LLC | LA ALGODONA LLC | UDONDA LLC
PO BOX 191943 PR PUERTO RICO 00919 1943,11,736351,2,WESTEN PROPERTIES | WESTERN PROPERTIES
130 WINSTON CHURCHILL PMB 210 PR PUERTO RICO 00926,11,2437100,2,MN PROPERTIES | MN PROPERTIES LLC
PO BOX 362983 PR PUERTO RICO 00936 2983,11,14130339,7,CRP II JUNCOS LLC | MW MAYAGUEZ LLC | PLAZA CAPARRA INC | PLAZA CAPARRA LLC | PPR JUNCOS LLC | THE FERER GROUP INC | TONNE INVESTMENT GRO
PO BOX 192315 PR PUERTO RICO 00919 2315,11,18458666,7,CDJR DEVELOPMENT LLC | CM HOLDING LLC | DCJR DEVELOPMENT LLC | JJ A IVESTMENT GROUP | JJA INVESTMENT GROUP | JJA INVESTMENT GROUP INC | JJAINVESTMENT GROUP
STE 300 27 CALLE GONZALEZ GIUSTI PR 00968 3076,11,8391318,5,3 RIOS LLD CORP | 3 RIOS LTD CORP | COMPANIA TRES RIOS INC | RSRE HOLDINGS LLC | TRES RIOS LTD CORP
CALLE MILLONES URB VALENCIA PR PUERTO RICO 00959,11,1820000,2,UNIVERSAL FITNES EQUIPMENT INC | UNIVERSAL FITNESS EQIP INC
PO BOX 30562 PR PUERTO RICO 00674 8516,11,3101948,6,COOP A C MANATI | COOP AC MANATI | COOP DE AHORRO Y CRE | COOP DE AHORRO Y CREDITO DE MANATI INC | COOPERATIVA DE AHORR | COOPERATIVA DE AHORRO Y CREDITO DE MANATI INC
PMB 214 PO BOX 70250 PR PR 00936 8250,11,1598000,2,M M 2 LLC | MM2 LLC
URB EL COMANDANTE 10091 AVE SAN MARCOS PR PUERTO RICO 00982,11,1500400,5,RM PROPERTY HOLDING | RM PROPERTY HOLDINGS | RM PROPERTY HOLDINGS LLC | RM PROPERTY OLDINGS LLC | RM PROPORTY HOLDING
PO BOX 362983 PR ESTADOS UNIDOS 00936 2983,11,30875230,6,COMMECIAL 18 REALTY LLC | COMMERCIAL 18 REALTY | JIL I INC | MATAGROSO INC | MATOGOSO INC | MONTECASINO REALTY I
URB COUNTRY CLUB 887 CALLE YABOA REAL PR 00924 3312,11,1208278,3,P P GETAWAT LLC | P P GETAWAY LLC | P P GETAWAYS LLC
PO BOX 19299 PR 00910 1299,11,7094000,2,AZIOL LLC | SIETE 87 FUND LLC
701 AVE PONCE DE LEON STE 309 PR PUERTO RICO 00907 3247,11,4477765,3,IIFP LLC | MARTINAL LLC | MARTINAL S E
MANSIONES DEL LAGO 149 CALLE LAGO CERRILLOS PR PUERTO RICO 00780 2490,10,1402000,5,CORP T F INVESTMEN | T F INVESTMENT LLC | T F INVESTMENTS L | T F INVESTMENTS LL | T F INVESTMENTS LLC
1357 AVE ASHFORD STE 2 465 PR UNITED STATES 00907 1400,10,4859820,9,BLUE PEARL LLC | CASA MAJESTIC LLC | CASAMAJESTIC LLC | CAST AWAY LLC | FINCA ORQUEDEA LLC | PLAYA FORTUNA LLC | REO ADQUISITION MANAGEMENT LLC | SPLIT ROCK LLC
COSMOPOLITAN 203 555 CALLE MONSERRATE PR ESTADOS UNIDOS 00907 2672,10,2978500,2,CARABI HOLDING LLC | CARABI HOLDINGS LLC
URB EL MONTE 3604 CALLE CUMBRE PR ESTADOS UNIDOS 00716 4830,10,3063500,4,G A G INVESTMENT LLC | G G INVEST LLC | G G INVESTMENT LLC | G G INVESTMENTS LLC
PO BOX 6060 PR PUERTO RICO 00726,10,1276500,2,QUEEN CENTRAL INC | QUEEN RENTAL INC
APT 11002 100 CALLE DEL MUELLE PR 00901 2603,10,8633511,6,ALDAVI INVERSIONES | ALDAVI INVERSIONES INMOBILIARIAS LLC | ALDAVI INVERSIONES LLC | VISTA DEL CA ON INC | VISTAS DEL CA O INC | VISTAS DEL CANON INC
66 CALLE SANTA CRUZ STE 303 PR PUERTO RICO 00961,10,1985230,5,BANCO SANTANADER PR | BANCO SANTANDER | BANCO SANTANDER DE P | BANCO SANTANDER PR | BANCO SANTANDER PUER
PO BOX 2795 PR 00960 2795,10,2251299,5,DUMANIS VENTURE CAPITAL INC | DUNAMI VENTURE CAPITAL INC | DUNAMIS VENTURE CAPITAL INC | DUNAMIS VENTURE CAPITAL INC CORPORATION | VENTURE CAPITAL DURA
URB SENDEROS EN MONTEHIEDRA 78 CALLE AMBAR PR USA 00926 7066,10,3635000,3,BRIGHT PALNET SOLAR INC | BRIGHT PLANET SOLAR INC | BRIGTH PLANET SOLAR INC
PO BOX 1497 PR USA 00745,10,5025000,2,ROUTE 65 INC | T B PETROLEUM CORP
PO BOX 2891 PR 00681 2891,10,1080000,2,BUYE HOLDING INC | BUYE HOLDINGS INC
PO BOX 190 PR 00681 0190,10,10577210,3,MIGRANT HEALTH CENTER WESTER REGION INC | MIGRANT HEALTH CENTER WESTERN REGION INC | MIGRANT HEALTH WESTERN REGION INC
PO BOX 495 PR 00681 0495,10,1448000,3,MACHADO HERNANDEZ DEV LLC | MACHADO HERNANDEZ DEVELOPMENT LLC | MACHADO HERNANDEZ DEVELOPMENTS LLC
PO BOX 1039 PR PUERTO RICO 00718 1039,10,992030,2,JJJ RANCH INC | OSP CONSORTIUM LLC
HC 3 BOX 3457 PR 00650 9508,10,2033500,3,INMOBILIARIA CRYMAR LLC | INMOBILIARIA CRYSMAR LLC | INMOBILISARIA CRIYSMAR LLC
PO BOX 552 PR PR 00662 0552,10,1770479,7,COOP A C DE ISABELA | COOP A C ISABELA | COOP AHORRO CRED ISA | COOP AHORRO Y CRD | COOPERATIVA A C ISABELA | COOPERATIVA DE AHORRO Y CREDITO DE ISABELA | COOPERATIVA DE ISABE
PO BOX 441 PR 00738 0441,10,1075950,4,FIRST DAY LLC | FIRTS DAY LLC | PROPERTIES IDEAS INC | ZUAN LLC
CALLE 504 0D21 COUNTRY CLUB PR PR 00982,10,1001780,6,INMOBILIARIA BEKLLA VISTA CORP | INMOBILIARIA BELLA VISTA CORP | INMOBILIARIAS BELLA VISTA CORP | INMOBILIARIAS BELLA VISTAS CORPORATION | INMOBILIARIAS BELLAS VISTAS CORP | INMOBILIARIAS BLLA VISTA CORPORATION
PO BOX 907 PR PUERTO RICO 00659 0907,10,2695000,4,CORP DE SERV MEDICOS | CORP DE SERVICIOS ME | CORP DE SERVICIOS PR | CORP SERV MEDICOS PR
RR 4 BOX 27262 PR 00953 9422,10,2410000,4,CONSTRUCTORA L PEZ RIVERA INC | CONSTRUCTORA LOPEZ Y RIVERA INC | L R ASPHALT INC | L R ASPHALT TECH INC
PO BOX 1744 PR PUERTO RICO 00970 1744,10,1616864,6,CARNOP INC | CROESTE INC | DOBLON INC | JONE INC | MAS INC | MAS INC REPRESENTADA
PO BOX 828 PR PUERTO RICO 00692,10,355000,2,BERRIOS DEVELOPMENT | BERRIOS DEVELOPMENT CORPORATION
PO BOX 10966 PR 00922 0966,10,1429319,3,MR HOME LLC | SMA HOME LLC | SMA HOMES LLC
425 CARR 693 PMB 115 PR PUERTO RICO 00646,10,586379,4,MD DISTRIBUTOR CORP | MD DISTRIBUTOR INC | MD DISTRIBUTORS CORP | MD DISTRIBUTORS LLC
PO BOX 25247 PR 00928 5247,10,8165000,3,PIONEER REALTY LLC | THREE BROTHERS CORP | THREE BROTHERS INC
PO BOX 30532 PR ESTADOS UNIDOS 00674,10,8065439,6,ALBERCA INC | MANAT MANAGED CARE LLC | MANATI MANAGED CARE LLC | MTI DEVELOPMENT CONSTRUCTION | MTI DEVELOPMENT INC | MTI DEVELOPMENT OF C
PO BOX 79036 PR ESTADOS UNIDOS 00984 9036,10,6875000,2,MSM INC | MSM INC C O SGROI MANISCALCO
1379 CALLE PASEO DE DON JUAN APT 4A PR PUERTO RICO 00907,10,6375000,2,PDDK LLC | PDDKL LLC
PO BOX 1465 PR ESTADOS UNIDOS 00674 1465,10,1620000,2,CANDELA FOOD INC | TIMA CORP
URB PORTOBELLO 974 CALLE PORTO VENECIA PR 00953 5401,9,11690361,2,ALL ESTATE L L C | ALL ESTATE LLC
PO BOX 1127 PR 00698 1127,9,579791,2,JB REALTY INC | JB REALTY LLC
PO BOX 267 PR 00751 0267,9,9732000,6,COSTA DE ORO LLC | FDG INC | JAIVE DEVELOPMENT CORP | JAYVE DELOPMENT CORP | JAYVE DEVELOPMENT CORP | JKRC LLC
PO BOX 7891 PMB 414 PR USA 00970 7891,9,487505,2,REHAB HOME INC | REHAB HOMES INC
PO BOX 364249 PR PUERTO RICO 00936 4249,9,103321058,7,ALD ACQUISITION LLC | FRINGE AREA IV LLC | PDC FRINGE I LLC | PDC FRINGE II LLC | PDC FRINGE III LLC | PDC FRINGE IV LLC | PDL REALTY LLC
PO BOX 7215 PR 00732 7215,9,1271000,5,BETINA S INVESTMENT | BETINA S INVESTMENT LLC | BETINA S INVESTMENTS LLC | BETINAS INVESTMENT L | BETINAS INVESTMENT LLC
PO BOX 51389 PR PUERTO RICO 00950 1389,9,15665172,4,ALTEKO DEVELOPERS INC | PANACO DEVELOPMENT | PANACO DEVELOPMENT I | ROYAL PROPERTIES INC
PO BOX 190085 PR PUERTO RICO 00919 0085,9,18454375,4,CARIBBEAN INVESTMENT | CARIBBEAN INVESTMENT ACQUISITION | CARIBBEAN INVESTMENT ACQUISITION LLC | OSP CONSORTIUM LLC
HATO REY 623 AVE PONCE DE LEON PR PUERTO RICO 00918,9,11515810,6,BANCO COOP DE PR | BANCO COOPE DE PR | BANCO COOPERATIVO | BANCO COOPERATIVO DE | BANCO COOPERATIVO DE PUERTO RICO | BANCO COOPERTATIVO D
PO BOX 1629 PR 00681 1629,9,749340,8,CORP ADV 7MO DIA | CORP ADVENTISTA 7MO | CORP ADVENTISTAS PR | CORP AVE DEL 7MO DIA | CORP DE ADVENTISTAS | CORP DE LOS ADVENTI | CORP DE LOS ADVENTIS | LA CORP DE LOS ADVE
PO BOX 34 PR PUERTO RICO 00669,9,1499356,4,JADAMME INVESTMENT | JADAMME INVESTMENT C | JADAMME INVESTMENTS | N R DEVELOPER INC
10 PRESIDENTIAL WAY MA 01801 1053,9,2046275,2,GTP TOWERS III LLC | INSTITUTE TOWERS OF PUERTO RICO LLC
COND SAN MARTIN SUITE 211 1605 AVE PONCE DE LEON PR PUERTO RICO 00909,9,20545936,2,BHC LLC | BHL LLC
HC 2 BOX 12070 PR 00667 9247,9,4933837,2,C E T O INC | CETO INC
61 LUIS MU OZ RIVERA APT 2A PR PUERTO RICO 00622,9,1423000,2,AQUAMANINA LLC | AQUAMARINA LLC
PO BOX 1356 PR 00681 1356,9,3252000,2,BILAND REALTY LLC | BLAND REALTY LLC
PO BOX 1264 PR PUERTO RICO 00754,9,1394469,2,FINCA REAL INC | MCO INDUSTRIES INC
PO BOX 8885 PR PUERTO RICO 00694,9,2617000,4,DS MEDICAL CORP | PANTOJA REALTY GROUP | PANTOJA REALTY GROUP CORP | PANTOJA REALTY GROUP LLC
URB COSTA VERDE 30 PR PR 00791,9,3267714,2,AURORA LLC | AURORA PR LLC
PO BOX 16262 PR 00908 6262,9,5258409,3,SOMAR GROUP CORP | SOMAR GROUP CORPORAT | SOMAR GROUP CORPORATION
FL 24 101 HUDSON ST NJ 07302 3915,9,1691975,3,BOSCO PUERTO RICO LLC | BOSCS PUERTO RICO LLC | INMOBILARIA LADA LLC
STE 119B 295 PALMAS INN WAY PR PUERTO RICO 00791 6254,9,6897827,3,CARTAMA CORP | KOFLOR CORP | KOFLOR CORPORATION
PO BOX 1085 PR 00660 1085,9,1585040,2,BELMONTE REALTY INC | BEMONTE REALTY INC
85 LARES GARDENS APTS PR 00669,9,573000,2,M M PROPERTIES INC | M M PROPERTY INC
HATO ARRIBA STATION PO BOX 3698 PR 00685 7012,9,3615000,5,FELCON HOLDING INC | FELCON HOLDINGS INC | FELCON HOLDINGS LLC | HOLDING INC FELCON | HOLDINGS INC FELCON
CRBB PONCE DE LEON 670 SUITE 17 PR 00902 3207,9,2368000,5,REYMAR PR REAL ESTATE INV LLC | REYMAR PR REAL ESTATE INVESTMENT LLC | REYMAR PR REAL ESTATE INVESTMENTS LLC | REYMAR PR REAL STATE INVESTMENTS LLC | REYMAR PR RENTAL ESTATE LLC
HC 2 BOX 6539 PR 00794 9240,9,1971100,3,HERMANOS L PEZ ZAYAS INC | HERMANOS LOPEZ ZAYAS CORP | HERMANOS LOPEZ ZAYAS INC
PO BOX 924 PR 00646 0924,9,922575,5,CBN INVESTMENT CORP | GR INVESTMENT GROUP CORP | JOCARTI INVEST CORP | JOCARTI INVESTMENT | JOCARTI INVESTMENT CORP
PO BOX 1577 PR 00970 1577,9,6148730,2,CAGUAS SQUARE LLC | MAC PROPERTIES LLC
STE 100 1654 CALLE TULIPAN PR 00927 6242,9,4672000,8,CLIMA CORP | GIBRALTAR PROPIEDADES CRL | HOME LIVING SOLUTIONS LLC | LE PARC 801 LLC | LOVE PEACE JOY LLC | PASSIVE LIFE 2 LLC | PUERTA A6 LLC | VELEZ GALARZA GROUP LLC
PO BOX 490 PR PUERTO RICO 00646 0490,9,498900,2,JJ ENTERPRISES CORP | JJ ENTERPRISES CORPORATION
COSTA DE ORO H185 CALLE E PR ESTADOS UNIDOS 00646 2018,9,4559000,3,3 T PROPERTIES LLC | 3I PROPERTIES LLC | 3T PROPERTIES LLC
605 CALLE CONDADO 800 ESQ AVENIDA PONCE DE LEON PR UNITED STATES 00907,9,3254000,4,GROUP SECUILES INC | GROUP SERVICE LLC | GROUP SERVILE INC | GROUP SERVILES INC
9 3 CALLE EL VIGIA URB COLINAS METROPOLITANAS PR 00969,9,1944000,2,SOLYMAR ENTERPRISE INC | SOLYMAR ENTERPRISES INC
1357 AVE ASHFORD STE 2 238 PR PUERTO RICO 00907 1400,9,4685000,8,KATDISA PROPERTIES CORP | KATIRIA PROPERTIES CORP | KATISA PROPERTIE INC | KATISA PROPERTIES CO | KATISA PROPERTIES CORP | KATISA PROPERTIES IN | KATISAQ PROPERTIES CORP | KATISIA PROPERTIES C
PO BOX 1932 PO BOX 1932 PR PUERTO RICO 00970,9,2194400,4,OMEGA TITLE HOLDING | OMEGA TITLE HOLDING CORP | OMEGA TITLE HOLDINGS | OMEGA TITTLE HOLDINGS CORPORATION
954 AVE PONCE DE LEON STE 806 PR 00907 3646,9,5875000,5,BEACH FARMS RANCH LLC | GALLERY PLAZA 702 LLC | GEMINI TOWER 2 LLC | PDMPR RE LLC | SPRING CITY CAPITAL LLC
STE 214 282 AVE JESUS T PINERO PR ESTADOS UNIDOS 00927 3905,9,17003784,3,VAMASS REALTY LLC | VEMASS REALTY INC | VEMASS REALTY LLC
COMERCIAL BELLA VISTA EDIF 1 LOCAL 1 A PR PUERTO RICO 00957,9,886166,5,VISTA HOME INC | VISTA HOMES INC | VISTAS HOME INC | VISTAS HOMES INC | VISTUS HOME INC
123 CALLE COLON PR 00602 3001,9,1245000,3,EL FIDEICOMISO L P V I | FIDEICOMISO L P V I | FIDEICOMISO LPV INC
REPARTO ROSELLO 5 CALLE ROBERTO CLEMENTE PR PUERTO RICO 00674 5782,9,2025000,2,LICK INC | LICKI INC
PO BOX 1316 PR ESTADOS UNIDOS 00688 1316,9,1080000,3,IVY PROPERTIES LLC | JECA PROPERTIES LLC | LISSY PROPERTIES LLC
APT 704 404 AVE DE LA CONSTITUCION PR 00901 2245,9,444878,2,BUSINESS ATELIER LLC | BUSINESS ATELLIER LLC
301 ADA LIGIA CONDO 1452 AVE ASHFORD PR PUERTO RICO 00907 1581,9,3413332,6,LAROBE MANAGEMENT SERVICXES LLC | LATROBE MANAGEMENT SERVICE S LLC | LATROBE MANAGEMENT SERVICES LLC | LATROBE MANAGEMENT SERVUICES LLC | LATRTOBE MANAGEMENT SERVICES LLC | LSTROBE MANAGEMENT SERVICES LLC
STE 200 161 CALLE SAN JORGE PR PUERTO RICO 00911 2176,8,3640000,4,MAR ACH INC | MAR ARCH INC | MAR AVCH INC | MARCH ANCH INC
COND SAN ALBERTO SUITE 815 605 CALLE CONDADO PR ESTADOS UNIDOS 00907,8,739995,4,ANALEAN HOLDINGS LLC | ANALEARI HOLDING LLC | ANALEARI HOLDINGS LL | ANALEARI HOLDINGS LLC
STE 1 200 CALLE SAN AGUSTIN PR ESTADOS UNIDOS 00901 2823,8,9698020,4,HDTH CULEBRA LLC | HDTH CULERA LLC | MASSRI PELAYO LLC | MASSRIPELAYO LLC
PMB 451 267 URB SIERRA MORENA SAN JUAN PR ESTADOS UNIDOS 00926,8,2155395,3,CMIYA INVESTMENT INC | GAMA REALTY CORP | GAMMA REALTY
P O BOX 191259 PR 00919 1259,8,30626718,2,REAL ESTATE PROPERTIES COMMODITIES | REAL ESTATE PROPERTIES COMMODITIES LLC
PO BOX 1787 P R 00952 1787,8,1652570,2,DESIGN BUILD LLC | DESIGN BUILD S E
151 CALLE FEDERICO COSTA STE 2 PR PUERTO RICO 00918 1340,8,11385847,3,CIRO GROUP | CIRO GROUP CORP | CIRO GROUP LLC
PO BOX 786 PR PUERTO RICO 00757 0786,8,1738000,2,MARTEX FARMS INC | MARYEX FARMS INC
PO BOX 10908 CAPARRA HEIGHTS STATION PR PUERTO RICO 00922,8,9780000,2,INVERSIONES | INVERSIONES COMERCIA
1300 CALLE ATENAS APT 59 E1 APT 59 E1 PUERTO RICO PUERTO RICO 00926 0092,8,5641790,2,E F REALTY INC | E F REALTY LLC
9 CALLE BALDORIOTY PR 00769 2412,8,2030000,3,KAMAL PROPERTIE LLC | KAMAL PROPERTIES LLC | RAMAL PROPERTIES LLC
RR 02 BUZON 4524 SUITE 8 PR 00610 9683,8,2420000,2,KANAAN CORP | KANAAN CORPORATION
52 AVE GONZALEZ CLEMENTE PR 00682 3207,8,1645000,4,HEALTH HOME SOLUTION GROUP | HEALTH HOME SOLUTION GROUP INC | HEALTH HOME SOLUTION GROUP LLC | HEALTH HOME SOLUTIONS GROUP
1807 PASEO LA COLONIA PR 00717 2235,8,4752300,3,CABES INC | CALEB INC | CALELL INC
