filename,fecha_de_radicacion,has_unredacted,unredacted_vars,unredacted_values,sbp_application,county,state,country,mailing_county,mailing_state,mail_country,taxable_year_end,total_net_worth,identification_type,income_interest_exempt,income_interest_nonexempt,income_dividends_exempt,income_dividends_nonexempt,income_capital_gains_exempt,income_capital_gains_nonexempt,income_wages_exempt,income_wages_nonexempt,income_other_income_exempt,income_other_income_nonexempt,does_grantee_own_a_home_in_puerto_rico_or_does_he/she_rent_it,primary_property_value,monthly_rent_pay,real_estate_municipality,n_nonprimary_real_estate,does_grantee_have_assets_located_in_puerto_rico,previous_reporting_year,current_reporting_year,asset_type_financial_previous_reporting_year,asset_type_financial_current_reporting_year,asset_type_financial_difference,asset_type_real_estate_previous_reporting_year,asset_type_real_estate_current_reporting_year,asset_type_real_estate_difference,asset_type_privately_held_business_previous_reporting_year,asset_type_privately_held_business_current_reporting_year,asset_type_privately_held_business_difference,asset_type_other_previous_reporting_year,asset_type_other_current_reporting_year,asset_type_other_difference,n_business,business_type_1,business_decree_1,business_type_2,business_decree_2,business_type_3,business_decree_3,business_type_4,business_decree_4,business_type_5,business_decree_5,business_type_6,business_decree_6,n_hh,days_in_pr,expenditure_in_pr,charity_in_pr,total_amount_donated,inicial
2022-RepAct22-007056_Redacted.pdf,2022-01-15 12:49:35.684,FALSE,NA,NA,true,Isabela,REDACTED,USA,Isabela,Puerto Rico,USA,31-12-2021,From 1 to 5 million,ssn,0,0,60000,0,0,0,0,60000,0,0,Rent,NA,759,Isabela,0,TRUE,2020,2021,8002,3282,-4720,0,0,0,1547,108262,106715,0,0,0,1,Services,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,196,29000,Yes,5000,NA
2022-RepAct22-007057_Redacted 2.pdf,2022-01-18 18:16:24.274,FALSE,NA,NA,No,Dorado,REDACTED,USA,Dorado,Puerto Rico,USA,31-12-2019,From 10 to 25 million,Social Security Number,640932,0,380,0,1683672,0,0,0,0,95,Own,2400000,NA,NA,0,TRUE,2018,2019,150000,178000,28000,2400000,2400000,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,290,215000,Yes,5000,NA
2022-RepAct22-007057_Redacted.pdf,2022-01-18 18:16:24.274,FALSE,NA,NA,No,Dorado,REDACTED,USA,Dorado,Puerto Rico,USA,31-12-2019,From 10 to 25 million,Social Security Number,640932,0,380,0,1683672,0,0,0,0,95,Own,2400000,NA,NA,0,TRUE,2018,2019,150000,178000,28000,2400000,2400000,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,290,215000,Yes,5000,NA
2022-RepAct22-007058_Redacted 2.pdf,2022-01-18 16:49:01.58,FALSE,NA,NA,No,San Juan,REDACTED,USA,San Juan,Puerto Rico,USA,31-12-2020,From 10 to 25 million,Social Security Number,2011,0,19193,4000,1377005,376575,0,60000,0,4882249,Own,171035,NA,NA,2,TRUE,2019,2020,16235854,5484087,-10751767,1388581,1070767,-317814,850000,850000,0,0,0,0,1,Real Estate/Property,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,302,292000,Yes,10000,NA
2022-RepAct22-007058_Redacted.pdf,2022-01-18 16:49:01.58,FALSE,NA,NA,No,San Juan,REDACTED,USA,San Juan,Puerto Rico,USA,31-12-2020,From 10 to 25 million,Social Security Number,2011,0,19193,4000,1377005,376575,0,60000,0,4882249,Own,171035,NA,NA,2,TRUE,2019,2020,16235854,5484087,-10751767,1388581,1070767,-317814,850000,850000,0,0,0,0,1,Real Estate/Property,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,302,292000,Yes,10000,NA
2022-RepAct22-007072_Redacted.pdf,2022-01-21 17:22:30.081,FALSE,NA,NA,No,Humacao,REDACTED,USA,Humacao,Puerto Rico,USA,31-12-2018,From 25 to 50 million,ssn,0,0,20000,0,102021,0,0,55692,0,3067,Rent,NA,2100,Vega Alta,0,TRUE,2017,2018,3,3,0,1,0,-1,1,2,1,0,0,0,2,Financial,TRUE,Financial,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1,190,95000,No,NA,NA
2022-RepAct22-007073_Redacted.pdf,2022-01-21 17:17:12.105,FALSE,NA,NA,No,Humacao,Puerto Rico,USA,Humacao,Puerto Rico,USA,09-01-0020,From 25 to 50 million,ssn,36157,0,0,0,0,0,0,44341,0,2497,Rent,NA,2500,Vega Alta,0,TRUE,2018,2019,3,3,0,0,0,0,2,4,2,0,0,0,1,Real Estate/Property,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,300,1e+05,No,NA,NA
2022-RepAct22-007074_Redacted.pdf,2022-01-24 17:08:51.891,FALSE,NA,NA,No,San Juan,REDACTED,USA,San Juan,Puerto Rico,USA,31-12-2018,From 10 to 25 million,Social Security Number,0,0,11782,0,135930,92419,0,0,0,482,Rent,NA,3600,San Juan,0,TRUE,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,203,40000,Yes,5000,NA
2022-RepAct22-007075_Redacted.pdf,2022-01-21 17:18:57.07,TRUE,household_member_2_live_in_pr,true,No,Humacao,Puerto Rico,USA,Humacao,Puerto Rico,USA,10-01-0020,From 25 to 50 million,ssn,107889,0,0,0,0,0,0,10000,0,42313,Rent,NA,2500,Vega Alta,0,TRUE,2019,2020,3,3,0,0,0,0,4,4,0,0,0,0,4,Real Estate/Property,FALSE,Financial,FALSE,Real Estate/Property,FALSE,Financial,TRUE,NA,NA,NA,NA,1,300,110000,No,NA,NA
2022-RepAct22-007076_Redacted.pdf,2022-01-20 07:03:33.627,FALSE,NA,NA,No,San Juan,Puerto Rico,USA,San Juan,Puerto Rico,USA,31-12-2020,From 25 to 50 million,ssn,174450,0,1611607,0,8570589,9046,0,252223,0,38265,Own,975000,NA,NA,0,TRUE,2019,2020,0,0,0,5e+06,5500000,5e+05,3050000,3050000,0,0,0,0,1,Consulting and Marketing,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,198,165000,Yes,5000,NA
